Serial Number,Book Title,Author,Publisher,Year,ISBN Number,Book Status
1,The Pragmatic Programmer,Andrew Hunt,Addison-Wesley,1999,978-0-201-61622-4,Issued
2,1984,George Orwell,Secker & Warburg,1949,978-0-452-28423-4,Issued
3,The Great Gatsby,F. Scott Fitzgerald,Charles Scribner's Sons,1925,978-0-7432-7356-5,Available
4,To Kill a Mockingbird,Harper Lee,J. B. Lippincott & Co.,1960,978-0-06-112008-4,Available
5,Feluda Samagra,Satyajit Ray,Ananda Publishers,1965,978-93-80341-45-6,Reserved
6,Byomkesh Bakshi Stories,Sharadindu Bandyopadhyay,Ananda Publishers,1932,978-93-80341-46-3,Available
7,Professor Shonku Samagra,Satyajit Ray,Ananda Publishers,1961,978-93-80341-47-0,Available
8,Harry Potter and the Sorcerer’s Stone,J.K. Rowling,Bloomsbury,1997,978-0-7475-3269-9,Available
9,A Brief History of Time,Stephen Hawking,Bantam Books,1988,978-0-553-10953-5,Available
10,The Theory of Everything,Albert Einstein,Princeton University Press,1950,978-0-691-16410-3,Available
11,The Guide,R. K. Narayan,Indian Thought Publications,1958,978-81-7223-002-4,Issued
